Muestreo,Fecha,Hora,Fecha,ZT,Notas,Promedio,CTL1,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS8,RPS2,RPS3,RPS4,RPS5,RPS6,RPS7,RPS8,,,,,,,,
1,,,27/01/2022 12:55,0,CONTROL,,38,38,37.75,37.625,37,37.75,37.625,38.25,37.625,37.625,36.875,37.5,37.25,38.5,38.375,37.875,37.125,38.125,38,37.75,38,37,37.625,,,,,,,,
2,,,27/01/2022 13:25,0.5,,,37.625,37.375,37.625,37.625,37.25,37.625,37.375,37.875,37.75,37.375,37.125,37.5,37.625,38,38.25,37.375,37.25,38.125,37.25,37.5,37.875,37.125,37.5,,,,,,,,
3,,,27/01/2022 13:55,1,,,37.75,37.125,37.5,37.375,37.25,37.25,37.375,37.625,37.625,37.125,37,37.375,37.375,37.375,38,37.375,37.25,37.75,37.5,37.75,37.5,37.25,37.625,,,,,,,,
4,,,27/01/2022 14:25,1.5,,,37.75,37.625,38,37.625,37.25,37.375,37.625,37.5,37.75,37.125,37.125,37.25,37.125,37.625,38,37.5,37.5,37.625,37.375,37.5,37.375,37.125,37.375,,,,,,,,
5,,,27/01/2022 14:55,2,,,37.5,37.375,37.5,37.75,37.125,37.375,38,37.625,37.875,36.875,37.625,37.375,36.75,36.875,37.625,37.25,37.125,38.125,37.5,37.375,37.625,37,37.5,,,,,,,,
6,,,27/01/2022 15:25,2.5,,,37.625,37.625,37.5,37.875,37.25,37.375,37.625,37.75,38,37.25,38.375,37.375,37.125,37.375,37.75,36.625,37.125,37.625,37.875,37.625,37.5,37,37.375,,,,,,,,
7,,,27/01/2022 15:55,3,,,37.375,37.625,37.5,37.875,37,37.25,37.625,37.5,37.875,37,37.5,37.75,36.875,37.5,37.375,37.125,37.25,37.875,37.875,37.125,37.5,37.125,37.25,,,,,,,,
8,,,27/01/2022 16:25,3.5,,,37.5,37.625,37.625,37.75,37,37.375,37.5,37.5,38,37.5,37.375,37.375,37.125,37.375,37.625,37.125,37.375,37.875,37.75,37.375,37,37.125,37.5,,,,,,,,
9,,,27/01/2022 16:55,4,,,37.625,37.625,37.875,37.75,37.125,37.125,37.25,37.75,37.75,37.875,37.125,37.25,37.875,37.5,37.875,37.125,37.875,37.75,38,37.5,37.625,37.125,37.375,,,,,,,,
10,,,27/01/2022 17:25,4.5,,,37.375,37.5,37.625,37.25,37.125,38.125,37.375,37.875,37.75,37.625,36.875,37.625,37.5,37.375,38.375,37.375,37.375,37.875,37.625,37.875,37.5,37.125,37.375,,,,,,,,
11,,,27/01/2022 17:55,5,,,37.375,37.375,37.625,37.75,37,37.625,37.25,37.625,37.75,37.375,38.125,37.625,37.375,37.25,37.75,37,37.25,37.75,37.625,38,37.75,37.125,37.375,,,,,,,,
12,,,27/01/2022 18:25,5.5,,,37.375,37.375,37.25,37.75,37.25,37.375,37,37.625,37.5,37.25,37.375,37.125,37.125,37.375,37.875,37.625,37.375,37.75,37.75,37.625,37.75,36.5,37.25,,,,,,,,
13,,,27/01/2022 18:55,6,,,37.25,37.5,37.375,37.25,37.25,37.25,36.625,37.375,37.625,37.25,37.25,37.25,37.125,37.5,37.75,37.25,37.875,37.625,37.5,37.625,37.5,36.625,37.5,,,,,,,,
14,,,27/01/2022 19:25,6.5,,,37.625,37.875,38.375,38.125,38.375,37.25,36.75,37.625,37.75,37.375,37.375,37.375,37.5,37.5,37.875,37,37.625,37.75,37.625,37.5,37.625,37.375,37.5,,,,,,,,
15,,,27/01/2022 19:55,7,,,37.75,37.875,37.875,38.125,37.875,37.75,37.875,37.5,37.75,37.375,36.875,37.625,37.125,37.25,37.75,36.875,37.625,37.5,38,37.125,37.5,37.625,37.625,,,,,,,,
16,,,27/01/2022 20:25,7.5,,,37.875,37.625,37.875,37.75,37.25,37.625,37.625,37.625,37.625,37.5,36.75,37.5,37.25,37.25,38.125,36.75,37.375,37.625,37.625,37.5,37.375,37.25,37.5,,,,,,,,
17,,,27/01/2022 20:55,8,,,38.25,37.625,37.75,37.75,37.375,37.875,37.875,37,37.75,37.25,37.25,37.25,37,38.375,38,37.25,37.25,37.5,37.625,37.625,37.375,37.25,37.625,,,,,,,,
18,,,27/01/2022 21:25,8.5,,,38.125,37.75,39,37.875,37.375,37.75,38,37.625,37.625,37.5,37.625,37.25,36.875,37.75,37.75,37.75,37.125,37.5,37.5,37.75,37.375,37.125,37.125,,,,,,,,
19,,,27/01/2022 21:55,9,,,38.5,37.5,38.25,37.875,37.125,37.875,38,37.25,38.25,38.5,37.875,36.625,37.125,37.5,37.875,37.5,37.125,37.5,37.625,37.875,37.625,37.375,37.5,,,,,,,,
20,,,27/01/2022 22:25,9.5,,,38.125,37.5,38,38,37.875,38,37.875,37.375,38,38.25,37.5,37.625,37.625,38.125,37.375,38,37.25,37.375,37.5,37.75,38.125,37.5,37.125,,,,,,,,
21,,,27/01/2022 22:55,10,,,38.125,37.625,38,37.875,37.875,37.875,38.625,37.625,38,37.875,37.25,37.375,37.625,38.125,38,38,37.125,37.75,37.625,37.75,38.125,36.375,37.375,,,,,,,,
22,,,27/01/2022 23:25,10.5,,,38.125,37.875,37.5,38,37.5,37.5,38.5,37.5,37.75,37.5,38,37.625,37.625,37.75,37.875,37.75,37,37.875,37.625,37.625,37.875,36.625,37.25,,,,,,,,
23,,,27/01/2022 23:55,11,,,38.25,37.625,37.625,38.5,37.625,37.75,38.375,37.875,37.625,37.75,37.25,37.5,37.75,38.5,37.625,37.75,37.25,38.25,38,38.125,38,37.5,37.375,,,,,,,,
24,,,28/01/2022 00:25,11.5,,,38.25,38,38,38.5,37.875,37.875,38.625,37.75,37.75,37.5,37.25,37.5,37,38.375,37.5,37.625,37,38,38.125,38,37.75,37.375,37.875,,,,,,,,
25,,,28/01/2022 00:55,12,,,38.25,37.875,38.375,37.625,37.875,37.875,38.125,37.5,37.75,37.5,37.625,38.375,36.875,37.75,37.625,37.25,37.75,38,38.125,37.5,37.625,37.375,37.5,,,,,,,,
26,,,28/01/2022 01:25,12.5,,,38.875,38.375,37.875,38,38.375,38.25,38.125,37.875,37.625,38.5,36.5,37.625,36.875,37.5,37.625,37.25,37.5,38.25,37.5,37.625,37.75,36.75,37.875,,,,,,,,
27,,,28/01/2022 01:55,13,,,38.375,38.125,37.875,38.75,38,38.125,38.375,38.375,37.375,37.875,37.125,37.375,36.875,37.625,37.75,37.125,37.375,38.75,38,37.625,38.25,37.875,37.75,,,,,,,,
28,,,28/01/2022 02:25,13.5,,,38.25,39,37.75,38.25,38.5,37.875,38,38.125,37.375,37.5,37,38.125,36.875,37.5,38,38.375,37.875,38.625,38.625,37.875,38,38.25,38.375,,,,,,,,
29,,,28/01/2022 02:55,14,,,38.375,38.25,38.375,38.5,38.25,38.125,38.375,38.125,38,38.625,36.875,37.5,37.875,38.875,37.875,37.5,37.75,38.5,38.125,38.25,38.25,37.5,38.25,,,,,,,,
30,,,28/01/2022 03:25,14.5,,,38.5,38.125,38,38.625,37.875,38.125,37.625,38,37.625,38.375,37.375,37.625,38.5,38.625,37.875,37.375,37.75,39,38.25,38.75,38.375,37.875,38,,,,,,,,
